SMILES,value
O=C(Nc1nnc(-c2cc(Cl)ccc2Cl)o1)c1ccc([N+](=O)[O-])cc1,4.75853
O=[N+]([O-])c1ccc2nc3c(c(-c4ccccc4)c2c1)CCCCC3,3.62787
Cc1cccc(C)c1OCC(=O)N/N=C/c1ccc(O)c([N+](=O)[O-])c1,5.93474
COCCN(C1CCN(Cc2c(-c3ccccc3)[nH]c3c(C(C)C)cccc23)C1)S(C)(=O)=O,4.90309
C=CCn1c(=O)c(C(=O)Nc2ncccc2C)c(O)c2ccccc21,5.09383
Oc1ccc(-c2nc3cc4ccccc4cc3nc2-c2ccccc2)cc1,5.40472
O=C(CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)c1ccc(F)cc1,5.05306
Cc1ccc(NC(=O)NC2CCCCC2)cc1Cl,5.2186
COc1ccc(-c2nnc(NC(=O)c3cc(Cl)sc3Cl)o2)c(OC)c1,4.66984
O=C1N=C2SC([N+](=O)[O-])=CN2C2=NC(=S)NC(c3ccc([N+](=O)[O-])cc3)C12,4.20901
CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,5.20475
O=C(Nc1nnc(-c2ccc3c(c2)CCCC3)o1)c1cccc(Cl)c1,6.33569
O=C(Oc1ccc(C2CCCCC2)cc1)c1cccs1,4.08384
Cc1ccc(-c2nc3ccc(Cl)cc3c(-c3ccccc3)c2Oc2ccc(-c3cc(-c4ccccc4)c4cc(Cl)ccc4n3)cc2)cc1,4.42136
O=C(CCNc1ccc(Cc2ccncc2)cc1)c1cccs1,4.7011
CC(=O)N(C)[C@H](C(=O)N1C[C@H](C)CC1C(=O)N(C)[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N2C[C@H](C)C[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)NCC(=O)O[C@@H]1C)C(C)C,8.27395
COC(=O)/C(=C/c1ccc(C)cc1)CSC#N,5.62371
CCNC1CN(c2nc(N3CCc4ccccc4C3)nc(N3CCc4ccccc4C3)n2)CCO1,5.17942
COc1cc([C@H]2OC[C@@H]3[C@@H](c4cc(OC)c(O)c(OC)c4)OC[C@H]23)cc(OC)c1O,3.62108
N=C(NO)N1N=C(c2ccccc2O)C[C@H]1c1ccccc1O,3.90309
CCC(C)Cn1c(-c2ccc([N+](=O)[O-])o2)nc2cc3[nH]c(=O)cnc3cc21,3.86612
COc1cnc2ccc(=O)n(CCN3CCC(NC(=S)Nc4ccc(F)cc4)CC3)c2c1,5.46597
Cc1cc(-c2nnc(NC(=O)c3cccc(N4C(=O)CCC4=O)c3)o2)nn1C,4.01744
CC(C)c1ccc([C@H]2[C@@H]3CSCN3[C@@]3(C(=O)Nc4ccc(Cl)cc43)C23C(=O)c2ccccc2C3=O)cc1,4.92812
O=c1oc(-c2cccnc2Cl)ns1,4.4286
CCOC(=O)C1=C(c2ccccc2)NC(=O)NC1c1coc2cc3occc3cc2c1=O,4.83773
N#Cc1ccc(-c2ccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)cc2)cn1,6.15938
O=C(CSc1nnc(-c2ccc(Cl)cc2)[nH]1)Nc1ccccc1Cl,4.74414
CCCCCCCCCCCCNCCNCC(O)COC[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]2OC(C)(C)O[C@H]21,4.04096
CCc1ccc(/C=c2\s/c(=C\C(=O)C(C)(C)C)[nH]c2=O)cc1,5.59363
CCCCCCCCCCc1cn(CCc2ccccc2OC)nn1,5.2349
CCC(C)NNC(=O)c1ccncc1,5.68403
O=[N+]([O-])c1ccc(-c2nn(C(Nc3ccc(S(=O)(=O)c4ccc(NC(c5ccccc5)n5nc(-c6ccc([N+](=O)[O-])cc6)oc5=S)cc4)cc3)c3ccccc3)c(=S)o2)cc1,5.55835
CN1/C(=C\C(=O)c2cccs2)Sc2ccccc21,5.24803
CCc1nc2cc(Cl)ccn2c1C(=O)NCc1ccc(N2CC3CCCCC3C2)cc1,7.74366
COc1ccc(-c2cccc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)n2)cn1,5.71637
COc1ccc(-c2c(Cc3ccccc3)nn3c(=O)cc(-c4ccccc4)[nH]c23)cc1,5.99396
CCCCC(=O)Nc1nnc(-c2cc(Cl)ccc2Cl)o1,4.48601
O=C(/N=N/c1c(F)c(F)c(F)c(F)c1F)Nc1ccccc1,4.11316
CNC(=O)c1cc([N+](=O)[O-])c2sc(C(=O)N3CCCCC3)nc2c1,4.0369
O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccccn1,6.46597
CCCCCCCCCCC(C)C1(C)SC(O)=C(C)C1=O,3.30103
Cc1csc(C(C)(O)c2nnc(Nc3ccn(C)n3)s2)n1,4.20412
Cc1ccc(C(=O)Nc2nc(C)c(C(=O)Nc3ccc4c(c3)CCC4)s2)cc1,5.57398
O=[N+]([O-])c1cn2c(n1)OC[C@@H](Oc1ncc(-c3ccc(F)cc3)cn1)C2,5.46332
N#Cc1c(NC(=O)c2cccs2)[n+]([O-])c2ccc(F)cc2[n+]1[O-],5.35158
CN(C)c1ccc(C(=O)Nc2nnc(-c3cc(Cl)ccc3Cl)o2)cc1,5.01395
O=[N+]([O-])c1c(-n2cccn2)nn(-c2ccccc2)c1C(Cl)Cl,4.99268
CC(C)(C)c1ccc(NC(=O)c2cc(Cl)ccc2O)cc1,4.88606
CC(C)(C)n1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCN(C(=O)c4ccco4)CC3)cc21,5.17522
c1ccc(Nc2cc3nc4ccccc4n(-c4ccccc4)c-3c/c2=N/C[C@H]2CCCN3CCCC[C@H]23)cc1,5.55959
CCOC(=O)c1cc(/C=C/c2ccccc2SC)on1,5.56282
