SMILES,value
O=[N+]([O-])c1cn2c(n1)OC[C@@H](NS(=O)(=O)c1ccc(OC(F)(F)F)cc1)C2,5.01323
CSN1C(=O)[C@H]([C@@H](C)O[Si](C)(C)C(C)(C)C)[C@H]1N(OCc1ccccc1)C(=O)c1ccccc1,5.55603
CC(C)(C)[Si](C)(C)N1C(=O)CC1N(OCc1ccccc1)C(=O)c1ccccc1,5.43044
O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc([N+](=O)[O-])s1,4.68173
O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc([N+](=O)[O-])o1,5.26122
O=C(C[C@@H](c1ccc(Cl)cc1)[C@@H]1CCCc2[se]nnc21)c1ccc(Cl)cc1,5.48149
Cc1ccc(C(=O)C[C@@H](c2ccc(Cl)cc2)[C@@H]2CCCc3[se]nnc32)cc1,5.45593
O=C(C[C@@H](c1ccc(Cl)cc1)[C@@H]1CCCc2[se]nnc21)c1ccccc1,5.4437
O=C(C[C@@H](c1ccccc1)[C@@H]1CCCc2[se]nnc21)c1ccc(Cl)cc1,5.14267
Cc1ccc([C@H](CC(=O)c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.81816
O=C(C[C@@H](c1ccccc1)[C@@H]1CCCc2[se]nnc21)c1ccccc1,4.80134
Clc1ccc(-c2nn[se]c2[C@@H](c2ccc(Cl)cc2)[C@@H]2CCCc3[se]nnc32)cc1,4.64782
Cc1ccc(-c2nn[se]c2[C@@H](c2ccc(Cl)cc2)[C@@H]2CCCc3[se]nnc32)cc1,4.62893
Clc1ccc([C@H](c2[se]nnc2-c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.61798
O=C(C[C@@H](c1ccccc1)[C@@H]1CCCc2[se]nnc21)c1ccc2ccccc2c1,4.55284
COc1ccc(C(=O)C[C@@H](c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.53313
COc1ccc(-c2nn[se]c2[C@@H](c2ccc(Cl)cc2)[C@@H]2CCCc3[se]nnc32)cc1,4.34199
c1ccc([C@H](c2[se]nnc2-c2ccc3ccccc3c2)[C@@H]2CCCc3[se]nnc32)cc1,4.32975
Clc1ccc(-c2nn[se]c2[C@@H](c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.31695
COc1ccc(-c2nn[se]c2[C@@H](c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.31336
COc1ccc([C@H](c2[se]nnc2-c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.31336
Cc1ccc([C@H](c2[se]nnc2-c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.2993
Cc1ccc(-c2nn[se]c2[C@@H](c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.2993
c1ccc(-c2nn[se]c2[C@@H](c2ccccc2)[C@@H]2CCCc3[se]nnc32)cc1,4.28735
NC(=O)c1cncc(Cl)n1,3.19723
NC(=O)c1cnc(Cl)cn1,3.49894
C=C1CC[C@]2(N=C=[Se])[C@@H](C)CC[C@@H]3[C@@H](C)C[C@@H](CC(C)(C)N=C=[Se])[C@H]1[C@H]32,5.40893
CCNC(=O)N[C@@H](CC)CO,5.90309
C[S@](=N)(=O)CC[C@H](N)C(=O)O,5.0
CC(=O)Nc1ccccc1O,3.87943
CN1CCN(C(=O)CCl)CC1,2.84845
O=C(CCl)Nn1cnnc1,2.2049
O=C(CCl)Nc1nc(Cl)cc(Cl)n1,2.68071
Cc1cnc(NC(=O)CCl)s1,2.88156
Cn1cc([N+](=O)[O-])cc1-c1nnc(-c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)o1,5.16038
O=[N+]([O-])c1c[nH]c(-c2nnc(-c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3O)o2)c1,5.70152
O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(I)cc1,5.30103
O=C(CSc1nnc(-c2cc3ccccc3oc2=O)o1)Nc1ccc(I)cc1,4.60649
Nc1nc(NCC(=O)N[C@@H](CC(=O)O)C(=O)O)c2nc[nH]c2n1,4.41254
Nc1nc(NCC(=O)O)c2nc[nH]c2n1,4.22141
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,3.91558
O=c1nc(-c2cc(F)c(Cl)nc2Cl)ss1,4.39743
Cc1sc(-c2nsc(=O)o2)cc1[N+](=O)[O-],5.23707
O=c1oc(-c2cc(F)c(Cl)nc2Cl)ns1,4.37207
CNS(=O)(=O)n1cnc2c(=S)[nH]cnc21,5.79835
O=[N+]([O-])c1ccc(/N=N/Nc2ccc([N+](=O)[O-])cc2C(F)(F)F)c(C(F)(F)F)c1,7.52288
O=[N+]([O-])c1ccc(/N=N/Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1C(F)(F)F,6.24413
O=C1CC(Sc2cccs2)N1,4.4716
O=C1CC([Se]c2ccccc2)N1,3.95724
O=C1CC([Se]c2ccccc2)N1C(=O)NCc1ccccc1,4.15795
CC12CCC(C1)C(C)(C)C2(O)CCNC(=O)c1ccccc1C(=O)NCCC1(O)C2(C)CCC(C2)C1(C)C,4.94157
CC(C)[C@@H]([NH3+])C(=O)O[C@H](C)[C@@H]1C/C=C\CC[C@H](O)C(C)(C)[C@H]2CC[C@@H](C)[C@]3(O2)O[B-]24O[C@@H](C(=O)O1)[C@@]1(O[C@@H](CC[C@H]1C)C(C)(C)[C@H](O)CCC[C@@H]1C[C@H](OC(=O)[C@@H]3O2)[C@@H](C)O1)O4,6.69897
