SMILES,value
c1ccc(CNc2nc(CN3CCOCC3)nc3scc(-c4ccccc4)c23)cc1,4.88539
O=C(N/N=C/c1cn(Cc2cc(-c3ccccc3)cnc2N2CCOCC2)nn1)c1ccc(F)cc1,4.88941
CCCCCCCC/C=C\CCCCCCCC(=O)NCC[C@]1(O)C(C)(C)[C@H]2CC[C@]1(C)C2,4.88606
COc1ccc(/C=N/Nc2ccnc3cc4c(cc23)OCO4)cc1,5.31876
CCCCc1ccc(-n2c(=S)oc3ccc(Cl)cc3c2=S)cc1,5.54846
CCOC(=O)c1cc(COc2ccc3ccc(C(F)(F)F)nc3c2)on1,5.05462
O=C(c1ccncc1)N1N=C(c2cc3ccccc3o2)CC1c1ccc(O)cc1,4.86085
CCc1cccc2c(/C=C(/C#N)c3nc4cc(C)c(C)cc4[nH]3)c[nH]c12,4.0
O=C1CC(c2ccncc2)=NN1C1CC(C(F)(F)F)Nc2c1cccc2C(F)(F)F,5.10378
Brc1cccc(-c2cc(-c3ccc(-n4cccc4)cc3)on2)c1,3.86359
COc1ccc(/C=N/NC(=O)c2cnc3c(C(F)(F)F)cccc3c2N[C@@H](CSc2ccccc2)CC(=O)N(C)C)c(F)c1,4.79772
CCOc1cccc2cc(-c3nnc(NC(=O)c4ccc(F)cc4)o3)oc12,5.99697
CCOC(=O)COc1ccc2c(=O)c(-c3ccccc3Cl)c(C)oc2c1C,5.34274
Oc1cccc2c1[nH]c1c(C3=C[C@@]4(O)CCCCCCCCN5CC[C@@H]3[C@]3(C[C@@H]6CCCCCCN6[C@@H]43)C5)nccc12,4.37474
O=C(NCCCCl)Oc1ccc(Br)cc1C(=O)Nc1ccc(C(F)(F)F)cc1,5.92474
CCS(=O)(=O)c1ccc(C(=O)Nc2nnc(-c3ccnn3C)o2)cc1,4.50391
COc1cc2c(cc1OC)C1=NN(C(=O)Nc3ccc(F)cc3)C(c3ccccc3)C1C2,5.0
COc1cccc(/C=C/C(=O)c2cccc([N+](=O)[O-])c2)c1,5.16153
Cc1ccc(N2C(=N)S/C(=C\c3ccc(OCc4ccccc4)cc3)C2=O)c(C)c1,5.72584
Cc1ccc2c(c1)c1ncnc(N3CCc4ccccc4C3)c1n2C,5.19457
Fc1ccc(-n2c3c/c(=N\CCN4CCOCC4)c(Nc4cccnc4)cc-3nc3ccccc32)cc1,5.99525
O=[N+]([O-])c1cn2c(n1)OC[C@@H](Oc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)C2,6.50218
c1ccc(-c2c(Sc3nc4ccccc4s3)c(-c3ccc4ccccc4c3)nc3ccccc23)cc1,4.29843
CCOCC(=O)Nc1ccc(Br)c(C)c1,5.00855
CC1CCN(c2ccc(C=O)o2)CC1,4.25246
N#Cc1c(NC(=O)c2ccc([N+](=O)[O-])o2)[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],4.23102
FC(F)(F)c1nn2c(/C=N/Nc3nc(-c4ccc(Cl)cc4)cs3)c(-c3ccc(Cl)cc3)nc2s1,4.0318
CCOc1ccccc1NCCCn1c(C)c(C)n2c3c(=O)[nH]c(=O)n(C)c3nc12,3.83325
c1ccc(-c2nc(NCc3ccco3)c3ccccc3n2)nc1,5.71715
Clc1cc2nc(CCC3CCCCC3)[nH]c2cc1Cl,5.59802
C=CCc1c(C)nc2c(-c3ccccc3)cnn2c1NCCN1CCOCC1,4.0
N#Cc1c(-c2ccc(F)cc2)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N,3.95274
Fc1ccccc1-c1nc(-c2cnc3ccccc3c2)c(-c2cccs2)[nH]1,4.56307
O=C1Nc2ccccc2[C@@]12C(c1ccccc1)C([N+](=O)[O-])C1CCCN12,4.14509
